stim,x,y,theta,phi
./test/1.png,300, 300,1.9513027039072615,0.64621977685614052
./test/1.png,100, 200,1.5971060440478189,0.76026311234992849
./test/1.png,200, 100,2.5431737601112561,0.53254107822777386
./test/1.png,100, 100,-0.71409069861215801,0.3969886648255842
stim,x,y,theta,phi
./test/2.png,300, 300,-1.4489538897749794,0.98731960377579853
./test/2.png,200, 100,1.1814796049617557,0.8430895563343197
./test/2.png,100, 100,0.69133692876946196,0.75286120898874842
./test/2.png,100, 200,-1.6396528160959412,1.1627553482998907
